Company_name,layoff_size,dates,Ticker
"130 WEST 3RD CAFÉ, INC. DBA THE FAT BLACK PUSSYCAT",40.0,['2020-03-24'],
"131 PQ 53RD STREET, INC.",54.0,['2020-04-17'],MU
132 W. 27TH STREET LLC,58.0,['2020-03-30'],
"133 PQ 6TH AVE., INC.",48.0,['2020-04-17'],MU
"134 WEST 3RD STREET REST, INC. DBA 3 SHEETS SALOON",34.0,['2020-04-17'],
1345 CLEANING SERVICE COMPANY II LP,93.0,['2020-04-18'],
1345 LEASEHOLD LLC,9.0,['2020-04-18'],
1401 UNITEK LEARNING EDUCATION GROUP CORP.,54.0,['2025-05-01'],
"144 PQ 97TH STREET, INC.",32.0,['2020-04-17'],MU
1440 MULTIVERSITY,251.0,"['2020-03-27', '2020-09-28']",
147 WEST 46TH OPERATING INC. (TGIF RESTAURANT),96.0,['2020-03-18'],
"149 SECOND AVE. REST., INC. DBA THE 13TH STEP",33.0,['2020-04-17'],
152 W 34 INC. PIZZA HUT/TIM HORTON'S,22.0,['2012-07-31'],
156 TENTH AVE RESTAURANT LLC DBA COOKSHOP,106.0,['2020-03-16'],
159 LIMITED PARTNERSHIP WILDFIRE,29.0,['2020-10-13'],
"1623 RESTAURANT LIMITED PARTNERSHIPS, L.P. D/B/A ALMA DE CUBA",78.0,['2020-04-01'],
1626 SRJ LLC,182.0,['2020-05-26'],
"1650 BROADWAY ASSOCIATES, INC.",280.0,['2020-04-17'],MU
"1661, INC. DBA GOAT",96.0,['2020-03-30'],ZAJCFX
"1661, INC. DBA GOAT AND FLIGHT CLUB NEW YORK, LLC",77.0,['2020-03-30'],ZAJCFX
168 ORCHARD STREET PARTNERS INC. DBA HAIR OF THE DOG,18.0,['2020-04-17'],
173 FOOD CORP.,30.0,['2015-01-20'],
1801 RESTAURANT PARTNERS LP CONTINENTAL MIDTOWN,127.0,['2020-04-01'],
181 THOMPSON STREET LLC,120.0,['2020-03-29'],
"1859 HISTORIC HOTELS, LTD. (WILLIAMSBURG HOSPITALITY HOUSE)",110.0,['2013-03-22'],
"1888 MILLS, LLC",180.0,['2024-02-02'],VRT
18TH STREET COMMISSARY INC.,39.0,['2020-04-11'],
19TH CAPITAL,398.0,['2020-02-26'],
1K KIRANA,600.0,['2023-04-04'],
1SALE,38.0,['2014-07-10'],
1ST GOBAL CAPITAL,108.0,['2018-08-13'],
1ST JACKPOT CASINO TUNICA,116.0,"['2020-06-15', '2020-07-13']",
1STDIBS,70.0,['2020-04-02'],DIBS
"20 TIMES REST LLC - 701 WEST, LOBBY BAR, PARADISE CLUB, AND THE TERRACE AND OUTDOOR GARDENS",292.0,['2020-03-18'],
"200 STL HOLDINGS, LLC D/B/A ST. LOUIS DOWNTOWN CROWNE PLAZA HOTEL",240.0,['2015-03-03'],
2024 DEMOCRATIC NATIONAL CONVENTION COMMITTEE,75.0,['2024-07-09'],
21' CLUB,142.0,['2020-04-02'],
"210 THE G, LLC",140.0,['2020-03-25'],VRT
"2171 WEST SIDE SUPERMARKET, LTD. (WESTSIDE MARKET)",69.0,['2017-09-01'],
21C MUSEUM HOTEL,285.0,['2020-05-22'],
21C MUSEUM HOTEL COVID19,124.0,['2020-05-22'],
21C MUSEUM HOTEL LEXINGTON,121.0,['2020-05-22'],
21C MUSEUM HOTEL LOUISVILLE - MGALLERY,117.0,['2020-05-23'],
21C MUSEUM HOTELS NASHVILLE,103.0,['2020-05-22'],
"21CT, INC.",65.0,['2014-12-18'],MU
21ST AMENDMENT BREWERY CAFE,76.0,['2025-09-12'],
22 EAST 54TH STREET RESTAURANT CORP DBA PAPILLON BISTRO AND BAR,75.0,['2020-03-20'],
"228 WEST 10TH STREET, LLC DBA L'ARTUSI",110.0,['2020-03-26'],
23 AND ME,680.0,"['2020-01-24', '2023-06-09', '2023-08-08', '2024-11-11', '2025-05-01']",
"23 BOTTLES OF BEER, LLC",90.0,['2020-04-20'],VRT
"2355 TELEGRAPH LLC, DBA SUPER DUPER,",25.0,['2020-04-10'],
"23ANDME, INC.",153.0,['2024-11-20'],MU
24 CARROTS,112.0,['2020-03-30'],
24 CARROTS CATERING AND EVENTS,112.0,['2020-04-14'],
24 HOUR FITNESS USA INC.,168.0,"['2020-06-18', '2020-08-10', '2020-08-18']",
24 JC PENNEY'S AND 2 KOHL'S,88.0,['2020-03-01'],
24-7 INTOUCH,403.0,"['2017-08-01', '2019-01-07']",
"24356 SWARTZ BURGERS, INC.",105.0,['2016-12-12'],MU
246 SPRING STREET NY LLC DBA THE DOMINICK,48.0,['2020-03-19'],
"26TH STREET RESTAURANT, LLC",134.0,['2020-03-25'],VRT
"28 LIBERTY F&B MANAGEMENT, LLC",178.0,['2020-03-31'],VRT
"289 HOSPITALITY, LLC DBA MARQUEE NY",51.0,"['2020-03-31', '2020-08-11']",
29TH STREET NY FOOD AND BEVERAGE OPERATING COMPANY LLC,165.0,['2020-03-31'],
"2K GAMES, INC",48.0,['2013-12-16'],MU
"2SEVENTY BIO, INC.",1966.0,"['2010-03-15', '2011-12-09', '2021-03-18', '2022-04-07', '2023-05-02', '2023-05-18', '2023-05-22', '2023-06-27', '2023-09-13', '2024-01-08', '2024-07-18', '2024-07-23', '2024-08-12', '2024-08-14']",MU
2TM,190.0,"['2022-06-01', '2022-09-01']",
3 DAY BLINDS,283.0,['2020-04-20'],
3 DREAMS LLC DFL7,61.0,['2021-09-20'],
"3 SUNS, LLC",94.0,['2020-04-29'],VRT
30 PARK PLACE HOTEL LLC,204.0,['2020-03-19'],
"321 RESTAURANT LLC RPM SEAFOOD, RPM EVENTS AND PIZZERIA PORTOFINO",80.0,['2020-10-13'],
"331 PAS F&B MANAGEMENT, LLC DBA LOBALL",16.0,['2020-03-31'],
"333 SOUTH SERVICE ROAD, LLC DBA FOUR POINTS BY SHERATON PLAINVIEW",14.0,['2020-06-15'],
"33RD STREET BAKERY, INC.",101.0,['2020-04-17'],MU
34 8TH AVENUE LLC DBA ANFORA,11.0,['2020-03-26'],
35 WEST LIMITED PARTNERSHIP,89.0,['2020-05-29'],
3566 STEVENS CREEK HOLDINGS DBA SUNNVALE CHRYSLER JEEP DODGE,36.0,['2020-05-26'],
360 BEHAVIORAL HEALTH,503.0,['2022-06-06'],
"360 SUPPORT SERVICES, INC. DBA 360 SERVICE GROUP",17.0,['2019-09-09'],
360X LOGISTICS LLC,139.0,"['2024-02-16', '2025-09-05']",
365 DELIVERY INC.,111.0,['2022-03-30'],
"365 HOSPITALITY ASSOCIATES, LLC",84.0,['2020-03-27'],VRT
"365 HOSPITALITY ASSOCIATES, LLC DBA HYATT PLACE SAN FRANCISCO DOWNTOWN",29.0,['2020-07-22'],
"3720 CROYDON, LLC",110.0,['2020-04-02'],VRT
"375 AMSTERDAM AVENUE, LLC DBA DAILY PROVISIONS",49.0,['2020-03-31'],
"377 GREENWICH OPERATING, LLC DBA THE GREENWICH HOTEL",76.0,['2020-03-19'],
38 MACDOUGAL LLC DBA SHUKA,93.0,['2020-03-16'],
38 W. 36TH STREET LLC,164.0,['2020-03-30'],
38 WEST 26TH STREET RESTAURANT CORP. DBA FLATIRON HALL,49.0,['2020-03-26'],
"3D INSTRUMENTS, LP",59.0,['2017-05-02'],ET
3D SYSTEMS,266.0,"['2014-05-27', '2021-11-03', '2021-12-14', '2022-01-28', '2022-12-06']",DDD
3M,458.0,"['2010-06-16', '2014-07-29', '2020-05-02']",MMM
3M COMPANY,872.0,"['2015-10-30', '2016-08-12', '2017-03-01', '2017-03-29', '2017-04-01', '2020-08-04']",MMM
3M COMPANY (WESTERN DISTRIBUTION CENTER),556.0,"['2011-04-08', '2013-05-31', '2013-08-09', '2013-11-20', '2013-12-17', '2019-02-21', '2020-04-24']",
3M COMPANY DBA 3M ORAL CARE,464.0,['2020-05-02'],
3M'S WONEWOK,40.0,['2023-05-01'],
"3M, DBA CERADYNE ACO (CERADYNE, INC.)",93.0,['2013-04-08'],MMM
"3RD AVENUE TRANSIT, INC.",1102.0,"['2014-11-21', '2015-03-17', '2020-05-21']",MU
"3RD AVENUE TRANSIT, INC./CANAL ESCORTS, INC.",91.0,['2014-03-27'],MU
4 DIAMOND CONSTRUCTION,8.0,['2020-04-09'],
4 LEAF LLC,63.0,['2021-09-17'],
"401 FOOD LLC, DBA MERCHANTS RESTAURANT",96.0,['2023-06-27'],
"42ND APPLE, LLC",118.0,['2020-03-25'],VRT
44 RESTAURANT LLC DBA THE LAMBS CLUB,133.0,['2020-03-30'],
"440 JERICHO TURNPIKE AUTO SALES, LLC DBA FORD & LINCOLN OF SMITHTOWN",43.0,['2020-03-24'],
442 AMSTERDAM AVE. REST. CORP. DBA THE GIN MILL,32.0,['2020-04-17'],
444 PAS RESTAURANT ASSOCIATES LLC,84.0,['2020-03-30'],
454 LIFE SCIENCES CORP.,78.0,"['2015-01-29', '2015-03-31']",
455 HOSPITALITY LLC (THE DOUBLETREE BY HILTON TARRYTOWN),131.0,['2020-03-19'],
47 REALTOP CORP. (TGIF RESTAURANT),29.0,['2020-03-18'],
"48FORTY SOLUTIONS, LLC",288.0,"['2020-02-20', '2022-07-26']",VRT
"48TH RESTAURANT ASSOCIATES, LLC DAB AVRA ESTIATORIO",101.0,['2020-03-23'],
49TH STREET RESTAURANT LLC DBA LILLIE'S,63.0,['2020-03-25'],
"4EARTH FARMS, LLC.",35.0,['2020-04-20'],VRT
"4LEAF, INC",106.0,['2020-04-17'],MU
"4OVER, INC.",386.0,"['2019-06-06', '2020-05-13', '2020-07-07', '2020-09-08', '2022-10-07']",MU
4TH STREET SALOON,369.0,"['2020-03-23', '2020-06-05', '2021-05-11', '2024-03-01']",
5 MINUTE PHARMACY LLC,81.0,['2025-12-11'],
50 RESTAURANT GROUP LLC D/B/A WD-50,39.0,['2014-09-11'],
"503 SUTTER AVENUE, LLC",12.0,['2012-01-06'],VRT
505 SOUTHWESTERN,95.0,['2020-06-10'],
513 HOTEL OPERATING,320.0,['2021-12-30'],
51ST ST. & 8TH AVE CORP DBA LOEWS CORONADO BAY RESORT,494.0,"['2020-06-10', '2021-01-04']",
"530 HOSPITALITY, LLC DBA THE SKYLARK",59.0,['2020-05-20'],
"5399 PROSPECT RD. LLC, DBA SUPER DUPER",17.0,['2020-04-10'],
"545 WEST 30TH STREET F & B MANAGEMENT, LLC DBA CEDRIC'S AT THE SHED",34.0,['2020-03-31'],
54GENE,95.0,['2022-08-29'],
"55TH STREET HOSPITALITY HOLDINGS, LLC DBA THE RICKY FISHBOWL AND PHD TERRACE",98.0,"['2020-04-01', '2020-08-10']",
55TH STREET RESTAURANT OPERATING LLC DBA DIG,27.0,"['2020-03-24', '2022-05-03']",
"568 AMSTERDAM, LLC DBA SIRENETTA",40.0,['2020-03-16'],
56TH & PARK F&B MANAGEMENT LLC DBA THE RESTAURANT,26.0,['2020-03-27'],
"57TH RESTAURANT ASSOCIATES, LLC DBA RUE57 BRASSERIE",119.0,['2020-03-23'],
"57TH STREET, LLC DBA KINGSIDE & THE ROOF",107.0,['2019-09-30'],
"59 WEST HUBBARD, INC. RAMEN-SAN, DANCE STUDIO AND IL PORCELLINO",368.0,"['2020-07-07', '2020-10-13']",
"5905 AHK, LLC DBA KEYES CHEVROLET",80.0,['2020-06-03'],
5B SOLAR,389.0,"['2010-03-26', '2011-07-19', '2011-09-20', '2022-06-03']",
5TH & MARKET GROUP LLC,138.0,['2020-04-20'],
"61 N RAYMOND, INC.",154.0,['2016-12-12'],MU
"6417 SELMA HOTEL, LLC",81.0,['2018-07-30'],VRT
"6417 SELMA HOTEL, LLC DBA THE HIGHLIGHT ROOM",245.0,"['2020-05-27', '2024-11-12']",
643 EMERSON ST PALO ALTO,76.0,['2020-05-20'],
6610 MELROSE MANAGEMENT LLC DBA CHI SPACCA,18.0,['2020-04-02'],
677 LEX TGI INC. - TGI FRIDAY'S RESTAURANT,36.0,['2016-04-18'],
6SENSE,150.0,['2022-10-12'],FSENZZX
"7 BEARS, LLC DBA BLACK BEAR DINER",25.0,['2025-01-29'],
7 C'S MAINTENANCE (AT TRUMP TOWER CHICAGO),61.0,['2024-03-06'],
"7 EAST 54TH ST. LLC, DBA BICE RISTORANTE",66.0,['2013-10-01'],
70 PINE OPS DBA CROWN SHY,170.0,['2020-03-22'],
700 CHESTNUT RESTAURANT LP,223.0,"['2011-04-27', '2020-04-01']",
700 ST RESTAURANT D/B/A JONES,72.0,['2020-05-01'],
"70TH STREET PRESCHOOL, YMCA OF GREATER LONG BEACH",67.0,"['2010-10-31', '2020-03-30']",
"71 ABOVE, INC. DBA 71ABOVE RESTAURANT",120.0,['2020-03-25'],
725 BAKER LLC DBA MESA,71.0,"['2020-04-11', '2021-01-14']",
741 EIGHTH AVENUE OWNERS LLC DBA HOTEL RIU PLAZA NEW YORK TIMES SQUARE,129.0,['2020-08-24'],
755 TACOS LLC DBA POPPY AND PETITE TAQUERIA,123.0,['2020-09-27'],
770 BROADWAY COMPANY LLC,58.0,['2020-04-14'],
77KIDS/AMERICAN EAGLE OUTFITTERS,257.0,"['2012-06-07', '2015-04-01']",
790 FRENCH LLC @ THE HILTON GARDEN INN TIMES SQUARE,127.0,"['2016-03-31', '2020-05-27']",
7SHIFTS,98.0,"['2023-09-15', '2024-01-11']",
"8 POINTS MANAGEMENT, LLC",886.0,"['2014-03-23', '2020-04-01', '2020-04-28', '2020-09-11', '2020-09-26', '2022-08-18', '2025-07-29']",VRT
"8009 DAY BURGERS, INC.",136.0,['2016-12-12'],MU
801 FISH,37.0,['2025-05-01'],
"84 WILLIAM STREET JV, LLC DBA AKA WALL STREET",31.0,['2020-03-27'],
"8490 HOSPITALITY LLC, DBA CATCH STEAK",110.0,['2024-11-01'],
85 C BAKERY CAFÉ,9.0,['2020-05-29'],
85 W BROADWAY JV LLC AKA TRIBECA,27.0,['2020-03-27'],
"85TH & 3RD LLC; EMMY SQUARED BEDFORD, LLC; ESQEV LLC; GARLIC KNOTS 364 I; AND GPEV LLC (PIZZA LOVES EMILY HOLDINGS, LLC)",167.0,['2020-03-25'],VRT
"88 INTERNATIONAL, INC.",1349.0,"['2011-01-03', '2012-10-29', '2014-02-25', '2014-08-01', '2014-11-01', '2015-09-16', '2018-04-06', '2019-09-05', '2020-04-09', '2020-04-13', '2020-06-29', '2020-09-02', '2020-10-15', '2024-07-18', '2026-01-16']",MU
"88 NINTH AVENUE HOSPITALITY, LLC DBA CATCH STEAK",353.0,['2020-03-16'],
8812-8814 RESTAURANT CORP DBA ARIRANG HIBACHI STEAKHOUSE,83.0,['2020-03-23'],
888 SEVENTH AVE LLC,29.0,['2020-04-14'],
8TH AVENUE FOOD & PROVISIONS GOLDEN BOY NUT CORPORATION,54.0,['2021-02-16'],
8X8,355.0,"['2022-10-04', '2023-01-18']",EGHT
"8X8, INC.",124.0,"['2020-01-21', '2023-01-20']",EGHT
9 SOUTH CHARGRILL # 2,45.0,['2019-11-15'],
900 HOTEL VENTURE LLC,308.0,['2020-03-23'],
9010 MELROSE AVENUE LLC DBA OLIVETTA,87.0,['2020-04-20'],
954 SECOND CORP DBA BLOCKHEADS BURRITOS,58.0,['2020-03-17'],
986 RESTAURANT CORP,35.0,['2020-03-01'],
99,75.0,['2022-09-20'],9988.HK
"99 CENT ONLY STORES, LLC",1249.0,"['2013-10-22', '2023-04-06', '2024-04-16', '2024-04-29', '2024-06-03', '2024-06-04']",VRT
99 CENTS ONLY STORE LLC (EL PASO),100.0,"['2024-06-03', '2024-06-04']",
99 CENTS ONLY STORE LLC (KATY#2),20.0,['2024-06-04'],
99 CENTS ONLY STORE LLC. (CONROE),20.0,['2024-06-03'],
99 CENTS ONLY STORES - HOUSTON - 4,40.0,['2024-06-04'],
"A & B PRECISION METALS, INC.",309.0,"['2015-05-07', '2021-02-03']",MU
A & DUBS,7.0,['2024-04-01'],
"A & H SPORTSWEAR CO., INC.",93.0,['2015-06-01'],MU
"A & J PROCESS SERVICE, LLC",46.0,['2011-11-30'],VRT
A & M (2015) LLC DBA SIRENS,15.0,['2020-05-07'],
A & M (2015) LLC DBA URBAN PLANET,12.0,['2020-05-07'],
"A & M ADMINISTRATION, LLC DBA CHARLOTTE RUSS",485.0,"['2020-03-27', '2020-05-05', '2020-07-30', '2021-02-25', '2023-10-26', '2023-12-06', '2024-08-01', '2024-10-30', '2025-12-01']",
A & P,218.0,['2012-01-01'],AUDPHP=X
A & P STORE #125,172.0,['2011-02-23'],
A & P STORE #734,158.0,"['2010-08-16', '2011-02-23', '2012-01-17']",
A & P STORE 698,80.0,['2011-02-01'],
A & P/PATHMARK STORE #627,256.0,"['2012-01-17', '2012-06-04']",
A & P/WALDBAUM'S STORE #209,533.0,"['2011-02-18', '2012-01-17', '2012-06-04']",
"A HEAD FOR PROFITS, LLC",45.0,['2020-03-23'],VRT
A PLUS APPLIANCE,38.0,"['2024-09-01', '2026-04-14']",
"A Q L DECORATING COMPANY, INC.",98.0,['2016-09-01'],MU
A R AUTOMOTIVE LLC DBA ANDERSON HONDA,604.0,"['2020-05-23', '2020-05-27', '2020-08-11', '2021-03-25']",
A SERVICES GROUP,255.0,"['2014-01-31', '2020-04-17', '2020-07-01']",ASH.XA
A SOUTHERN SEASON,991.0,"['2016-04-08', '2016-07-02', '2019-11-10', '2020-03-20', '2020-05-23', '2020-08-06']",
A W COULTER INC,108.0,"['2011-10-21', '2011-12-30']",
"A&A EXPRESS (AA TEMPERATURE CONTROL, LLC)",121.0,"['2020-04-30', '2024-08-09']",VRT
A&M ADMINISTRATION LLC DBA CHARLOTTE RUSSE (HUDSON VALLEY),61.0,"['2011-11-03', '2020-03-27', '2020-08-11', '2024-04-26']",
A&M LLC,653.0,"['2020-03-27', '2022-05-05', '2022-10-31']",ASST
A&P (SUPER FRESH),1534.0,"['2011-05-06', '2011-06-22']",
"A&P COAT, APRON & LINEN SUPPLY DBA UNITEX TEXTILE RENTAL SERVICES",65.0,['2016-10-07'],
A&P/PATHMARK,82.0,['2011-02-15'],
"A&R WHOLESALE DISTRIBUTORS, INC. DBA",138.0,"['2015-05-05', '2017-06-01']",
A&S BUILDING SYSTEMS INC,372.0,"['2015-01-21', '2016-02-01', '2016-03-01', '2017-01-27', '2017-02-01']",
"A'VIANDS, LLC",197.0,['2020-07-23'],VRT
A-1 DOOR,97.0,['2011-12-31'],
"A-AMERICAN STORAGE MANAGEMENT CO., INC.",79.0,"['2010-05-01', '2020-11-18']",MU
"A-LIST, INC. & H-LIST INC. DBA KITSON",197.0,"['2015-12-28', '2016-01-05']",DE000SL0FPQ7.SG
A-TEC ENERGY CORP.,62.0,"['2019-03-29', '2019-04-30', '2019-05-13', '2019-05-30']",
A. C. MOORE INCORPORATED,408.0,"['2020-01-01', '2024-06-05']",
"A. LAVA & SON, LLC",188.0,['2024-11-27'],VRT
"A. RUSSO & SONS, INC.",239.0,['2021-08-13'],MU
A. SCHULMAN (ICO POLYMERS SITE),32.0,"['2013-08-09', '2023-10-26']",
"A. SCHULMAN, INC",241.0,"['2015-01-05', '2019-07-15', '2024-01-11']",MU
"A. SCHULMAN, INC. (LYONDELLBASELL FINANCE CO.)",43.0,['2019-11-21'],
"A.B.C. CARPET CO., INC./A.B.C. ORIENTAL CARPETS, INC",22.0,['2018-10-17'],MU
A.C. MOORE (BETHPAGE),39.0,['2020-01-12'],
A.C. MOORE (BLASDELL),35.0,['2020-01-12'],
A.C. MOORE (NANUET),42.0,['2020-01-12'],
A.C. MOORE ARTS & CRAFTS,259.0,['2019-12-17'],
"A.C. VROMAN, INC. DBA VROMAN'S BOOKSTORE AND BOOK SOUP",12.0,['2024-04-03'],
A.F. EVANS COMPANY,120.0,['2011-01-31'],
"A.F.L. QUALITY, INC.",49.0,['2012-11-01'],MU
"A.I. FRIEDMAN, L.P.",27.0,['2017-03-01'],EPD
A.I. SOLUTIONS INC.,252.0,"['2013-07-01', '2017-02-07', '2025-08-01', '2025-10-17']",
A.I.M RECON LLC,59.0,['2024-10-09'],
"A.L. BAZZINI CO., INC.",57.0,['2011-04-19'],MU
A.L.P LIGHTING,70.0,['2018-12-03'],
"A.L.P. LIGHTING COMPONENTS, INC.",55.0,['2023-08-24'],MU
A.O. SMITH,57.0,['2018-04-13'],AOS
"A.R.M. STAFFING, INC.",222.0,['2020-03-23'],MU
A123 SYSTEMS,130.0,['2017-04-03'],
A123 SYSTEMS LLC - LIVONIA,42.0,['2019-07-30'],
A2MAC1 LLC,70.0,['2024-04-08'],
"A3 SMART HOME, LP",50.0,['2024-11-01'],ET
"AAA CLUB ALLIANCE, INC.",18.0,"['2021-02-23', '2021-04-09']",MU
AAA CLUB PARTNERS,232.0,"['2012-10-09', '2013-02-19', '2013-09-04']",
AAA FLAG & BANNER,55.0,['2020-05-26'],
AAA HOOSIER MOTOR CLUB,122.0,['2010-02-03'],
AAA NORTHERN CALIFORNIA,396.0,"['2011-05-31', '2018-11-27', '2019-05-31', '2019-12-28', '2020-04-25', '2023-05-31', '2025-02-04']",
"AAA NORTHERN CALIFORNIA,NEVADA & UTAH INSURANCE EX",68.0,['2011-07-31'],
AAA PARKING,99.0,['2018-03-14'],
AAA SALES & ENGINEERING INC.,106.0,['2020-10-08'],
AAAG MID-SOUTH AUTO AUCTION,102.0,['2020-04-30'],
AAC HOLDING CORPORATION,5889.0,"['2010-02-08', '2010-12-07', '2011-01-07', '2011-05-22', '2011-08-31', '2012-01-06', '2012-03-01', '2012-04-08', '2012-05-15', '2012-10-01', '2012-11-01', '2014-08-15', '2014-10-01', '2015-01-06', '2015-02-02', '2015-02-04', '2015-05-19', '2015-07-24', '2015-08-05', '2016-10-10', '2016-10-26', '2016-11-02', '2016-11-18', '2017-01-19', '2017-03-24', '2017-06-14', '2017-11-03', '2017-11-10', '2018-01-10', '2018-02-28', '2018-04-19', '2020-04-01', '2020-04-13', '2020-04-14', '2020-07-02', '2022-09-27', '2023-06-29', '2023-11-01', '2024-08-30', '2024-10-29', '2025-06-03']",
AACER ACQUISITIONS,126.0,['2022-05-26'],
AAKASH,80.0,['2024-09-18'],AAKASH.NS
AAM MALVERN MANUFACTURING FACILITY,145.0,"['2012-06-05', '2021-03-29']",
AAPC LOUNGE SERVICES,1632.0,"['2010-10-14', '2012-05-02', '2012-09-01', '2019-08-08', '2025-02-11', '2025-05-22']",
AAR AEROSTRUCTURES & INTERIORS,72.0,['2015-12-07'],
AAR AIRCRAFT MAINTENANCE,234.0,"['2016-06-01', '2020-06-17']",
AAR AIRCRAFT SERVICES,329.0,['2025-12-23'],
AAR CARGO SYSTEMS,61.0,"['2010-11-04', '2020-04-03']",
AAR LANDING GEAR SYSTEMS,172.0,['2020-05-15'],
AAR MANUFACTURING GROUP,350.0,"['2014-06-27', '2014-09-26', '2015-10-08', '2017-06-09', '2020-06-01']",
AAR MOBILITY SYSTEMS,652.0,"['2010-09-29', '2010-10-01', '2012-06-15', '2013-04-02']",
AAR MOBILITY SYSTEMS (FORMERLY SUMMA TECHNOLOGY),181.0,['2012-04-24'],
AAR PRECISION SYSTEMS,1594.0,"['2010-07-01', '2012-04-20', '2012-10-21', '2013-09-12', '2016-09-01', '2020-01-10', '2020-01-23', '2020-03-23', '2020-05-01', '2020-05-19', '2020-06-08', '2020-06-12', '2020-07-16', '2020-07-23', '2020-07-31', '2020-08-01', '2020-08-07', '2020-10-01', '2020-10-23']",
"AAREN SCIENTIFIC, INC.",450.0,"['2015-03-01', '2018-06-14', '2018-06-20', '2020-03-23', '2022-04-01', '2022-05-26', '2023-02-16']",MU
"AARON THOMAS COMPANY, INC.",268.0,"['2017-07-25', '2024-05-08', '2024-05-10']",MU
AARP,109.0,"['2013-06-05', '2013-08-01', '2025-12-10']",AARPLXX
"AB CAR RENTAL SERVICES, INC.",1063.0,"['2010-03-17', '2010-09-28', '2011-01-18', '2016-04-05', '2020-03-20', '2020-03-26', '2020-05-15', '2021-04-29']",MU
AB INTERCONNECT INC,329.0,"['2013-09-05', '2018-05-01', '2023-10-19']",
AB&I FOUNDRY,193.0,['2022-04-07'],
ABA2DAY BEHAVIOR SERVICES,94.0,['2023-06-01'],
